iter	Logloss
0	0.6033877009
1	0.5330025988
2	0.4764145827
3	0.4309216283
4	0.3926560174
5	0.360562888
6	0.3337966269
7	0.312354624
8	0.2921630348
9	0.2766018229
10	0.2626396377
11	0.251328832
12	0.2413645469
13	0.2328757718
14	0.2257270243
15	0.219078496
16	0.2136902626
17	0.209104001
18	0.2047241944
19	0.2006137265
20	0.1970358366
21	0.1941898566
22	0.1917030453
23	0.1895873212
24	0.1874048379
25	0.1853515079
26	0.183854668
27	0.1826375097
28	0.181241637
29	0.1794077804
30	0.1779324854
31	0.1766598107
32	0.1759154755
33	0.1746451232
34	0.1739435735
35	0.1733225614
36	0.1721101806
37	0.1714502911
38	0.1707730685
39	0.1700432496
40	0.169480952
41	0.1687795084
42	0.1682302648
43	0.1673236559
44	0.1669726629
45	0.1666846995
46	0.166445615
47	0.1657823312
48	0.1655639868
49	0.1652633042
50	0.164983339
51	0.164658224
52	0.1640605109
53	0.1638942861
54	0.1635059377
55	0.1633403239
56	0.1630835775
57	0.1628350495
58	0.1625000721
59	0.1620846038
60	0.1616462153
61	0.161316207
62	0.1610583726
63	0.1608558638
64	0.1605721213
65	0.1604212783
66	0.1601718596
67	0.1598510618
68	0.1597581854
69	0.1596892117
70	0.1595731614
71	0.1592217577
72	0.1590214954
73	0.1588857932
74	0.1587994884
75	0.1583895926
76	0.1581721664
77	0.1580621821
78	0.1579425435
79	0.157827678
80	0.1575010379
81	0.157363875
82	0.1572548181
83	0.1571957711
84	0.1570347338
85	0.1569117599
86	0.156836232
87	0.1567415294
88	0.1565252232
89	0.1563207169
90	0.1562015627
91	0.1559892571
92	0.1558325875
93	0.1557023925
94	0.1556575679
95	0.1555612827
96	0.155497498
97	0.1552955446
98	0.1551788486
99	0.1551591438
100	0.1548934914
101	0.1548824057
102	0.1547671256
103	0.1545395249
104	0.1545162366
105	0.1544873446
106	0.1544590884
107	0.1544483058
108	0.1544220589
109	0.1544051716
110	0.1543582542
111	0.1543290071
112	0.1543156506
113	0.1542770278
114	0.1542477123
115	0.1542249279
116	0.1542019573
117	0.1541071579
118	0.1540879548
119	0.1540549553
120	0.1540279865
121	0.1540074396
122	0.1539931289
123	0.1534652588
124	0.1533900043
125	0.153292875
126	0.1532716329
127	0.1532525054
128	0.1528842799
129	0.1528651211
130	0.1527080604
131	0.1526200531
